PSCV,FSCV,CV
0.56898329498091,0.546494237204644,0.679822519595705
0.54109541464237,0.517462405600158,0.580769176208837
0.494240645012036,0.477992837392812,0.526887354648295
0.56581585648155,0.539496289857612,0.627724320709739
0.572716158625726,0.528750454463265,0.633833096437272
0.510059488634166,0.48475717619062,0.511222004130632
0.564000388117553,0.521475675207168,0.645560643833264
0.544124999575457,0.505551902352418,0.525404572233855
0.543893361474568,0.505939684917038,0.659769671917767
0.519788979474785,0.490275706982358,0.538203774031447
0.503360032857294,0.483199274443309,0.555620776202656
0.55717838168849,0.536912844164823,0.607613554163027
0.523121580031161,0.489992315189711,0.579354805814306
0.574599586360797,0.553643547973708,0.608698242542147
0.564222304214846,0.518864150394349,0.590677157219097
0.57122239015401,0.549451895768714,0.517345287737225
0.552904342894421,0.518980465974597,0.58800562850412
0.500287339463555,0.463778307056159,0.577229694784978
0.557779307171857,0.535401619104846,0.557818672964461
0.56829980748238,0.535787429260313,0.609784770002191
0.582472677256243,0.537387816665821,0.590241857323844
0.522590281060715,0.501996162399563,0.563779027222554
0.56766197436666,0.559006647248309,0.6080037732627
0.537121146410643,0.49986172761991,0.534517105209697
0.515800466597503,0.497034041409217,0.519285261933672
0.548475184281882,0.522637936787112,0.612645402302161
0.513808151458656,0.49503474742294,0.575660147028539
0.541396389432476,0.502811384639267,0.555034340834336
0.575051221745264,0.556047230048408,0.590481381571149
0.537478265281406,0.502972000379872,0.5211396166591
0.556723851414148,0.533204700562584,0.569095543720148
0.562817235107107,0.532191931693656,0.64323102421729
0.553957202687657,0.533571656322797,0.568243087008403
0.549312372005507,0.525568501140843,0.599762432628625
0.557040312911916,0.527356581786513,0.642042529259707
0.545390741297754,0.502513441450886,0.543171714570219
0.578666840018895,0.530907443399841,0.657540115341456
0.535657563756421,0.507840479007074,0.654393967326461
0.550787918862468,0.528472094624174,0.62622339514367
0.499183875725864,0.482549158875027,0.561437766364173
0.552634051986902,0.532335905780836,0.589292430454725
0.579909330076742,0.558037541935368,0.679730964280149
0.556931931571174,0.533347583047665,0.619970611794291
0.600481063648937,0.555273204342713,0.67246234429093
0.574569149022963,0.546063458130278,0.595641422479674
0.550286194368339,0.5068354428704,0.570501625730074
0.551434347379844,0.514265353742194,0.603670150829961
0.552301615527078,0.522903255593779,0.674501109938347
0.540490412633909,0.505862207024201,0.604469720301336
0.565092096395489,0.5261739909363,0.565923704365694
0.564805402969067,0.540837589871409,0.654214977959574
0.589513252974334,0.563716316032119,0.62688197113974
0.53941601068129,0.513263394848588,0.586308532531811
0.531771051731461,0.496275458935193,0.530987420303521
0.515450706433567,0.497616105828924,0.459415044191005
0.516485749780493,0.479495777210417,0.513506420220098
0.542566326705594,0.502240085108419,0.575922793685963
0.51695058010669,0.484150853114974,0.583524595204427
0.538877958124784,0.504143574845089,0.642379114657877
0.506331077950002,0.476454290912773,0.580936803410963
0.524190299952766,0.507558607218352,0.572333750856689
0.564600628460728,0.526823232318662,0.652991019261209
0.55470346270395,0.525021262359257,0.654792976372443
0.537989303156758,0.513613206363125,0.614116932021438
0.56313300934945,0.542420483089673,0.585993651469173
0.545710547193736,0.505196302065849,0.595372168086757
0.533766295321771,0.511251345851268,0.628522702804333
0.571123628743347,0.527411540273941,0.652238534988341
0.539151485466546,0.503778259487326,0.593379601151483
0.563960816311129,0.526453083786087,0.607652710849658
0.572808306445176,0.541279491327371,0.607268721366033
0.513669153972969,0.513101178092864,0.56156061801089
0.568933247071523,0.534535497215578,0.566517393411325
0.513678513775416,0.480282360034776,0.476129221373596
0.552813431063673,0.522071316752077,0.591093598971981
0.560948688564733,0.558136826844856,0.595349185026345
0.549086915562959,0.529727781417415,0.578750725500916
0.564389322375075,0.536124515886291,0.633315794486815
0.493781988166643,0.477906986276197,0.539281964372826
0.528682442038082,0.491985856917961,0.572009098298498
0.549096786284485,0.509408080771327,0.560060201265486
0.535204708284531,0.506865365613773,0.538284639439402
0.563274264295431,0.540034183930214,0.67467152981552
0.561289587950948,0.538209832364074,0.572584887852484
0.549789266709867,0.528010371723828,0.599108009608367
0.541430582732234,0.502089594408662,0.644683154881322
0.536402331515734,0.517564286216238,0.553292628791696
0.514730521015396,0.483245409594585,0.53130271972188
0.531336739646623,0.497805053271081,0.585004829525658
